artist,album,track,uri
Childish Gambino,What Kind Of Love,What Kind Of Love,spotify:track:3dDGmTHmzYpfZivVzd7W0d
Armando Young,Loved Ones (Saudades),Loved Ones (Saudades),spotify:track:5xHvxOGmmVWSo5CL27zFml
Bog Bod,Body Shop,Headache,spotify:track:5SwJPGSUnI9AEBR3LsGVz2
redveil,black enuff,black enuff,spotify:track:0L9p0fF3HdxKEvKLaNBM4w
Motopony,Motopony,Wait for Me,spotify:track:5SHOb5hvMDzmIRfDhwBoq5
Rihanna,Kiss It Better,Kiss It Better - KAYTRANADA Edition,spotify:track:62tnsScYuep18LnQiQqHmX
Kendrick Lamar,"good kid, m.A.A.d city",Black Boy Fly - Bonus Track,spotify:track:1H7yy9jlDYS2EBF41J6Yf5
CARRTOONS,Saturday Morning,Father - Alt. Version,spotify:track:5sVlxwYqlOrqXP4bZUHU28
Muzie,Color of Night,Thinking About You (feat. SUMIN),spotify:track:4kUD47WGOx48NepL37CfbT
Leikeli47,Shape Up,Carry Anne,spotify:track:3gPxfcewMlw2h9n24uW4pm
Snoh Aalegra,"- Ugh, those feels again",I Want You Around,spotify:track:2VqKx3HH8gaZPabNWYvksy
Keyshia Cole,The Way It Is,Love,spotify:track:0W4NhJhcqKCqEP2GIpDCDq
Dana and Alden,"Coyote, You're My Star",PB,spotify:track:5PovfmvDD4eJYhUdDAfAlV
Your Grandparents,So Damn Fly,So Damn Fly,spotify:track:1JDn0osSkr8acocxqMQ7fB
macico,eye,eye,spotify:track:3DVAu0Uwb9rVF0dJd94nhf
Supershy,Change / Take My Time,Take My Time,spotify:track:4vYuZjqIxGsRzyqjV15dWk
AUDREY NUNA,damn Right,damn Right,spotify:track:76Gw6K3kG2zjuNGoFuwxIP
Joyce Wrice,Overgrown,Kaytra's Interlude (feat. KAYTRANADA),spotify:track:5Sf02v5Q9Z9Ewfxmn69JOt
CAPYAC,Movement Swallows Us,Speedracer,spotify:track:6RUUaEumPDW1ZDSUUluOyg
Childish Gambino,Camp,Letter Home,spotify:track:076K8Jg7xmjCMn816yZboV
Kindness,Something Like A War,Softness As A Weapon,spotify:track:1NlXQ0Qrxyp1GdMWMzjzly
agajon,Lovin Gotchu High,Lovin Gotchu High,spotify:track:64Ms5Jtqou7HKYyd5FyyWB
Omar Apollo,Friends,Kickback,spotify:track:5MZQIjtghyFc4sMVUzD7MD
Herrick & Hooley,Texoma,Sun,spotify:track:4hR2xfmkXn5OZVYLorPUbm
Mac Miller,Circles,Blue World,spotify:track:2hwOoMtWPtTSSn6WHV7Vp5
KAYTRAMINÉ,KAYTRAMINÉ,Who He Iz,spotify:track:02nhDSWvcXYALyVkth2oXd
Rayana Jay,Love Me Like,Love Me Like (feat. DUCKWRTH),spotify:track:5FFUDCkMjxuK6XQZNumN55
KAYTRANADA,BUBBA,Oh No (feat. Estelle),spotify:track:6YmX8SDySkBPnvWiGF7AqU
Drake,More Life,Get It Together,spotify:track:7y6c07pgjZvtHI9kuMVqk1
Central Cee,Doja,Doja,spotify:track:3LtpKP5abr2qqjunvjlX5i
Iman Omari,Another,Another,spotify:track:28msNj2LWF2V0xBLZ3ONdv
99 Neighbors,Thunder,Thunder,spotify:track:5dSMIKHTQEE641IEpWKEOh
Sticky Fingers,Happy Endings,Eddy's Song,spotify:track:0a9hOfhjo8xOzSsbnCrikz
Amaarae,THE ANGEL YOU DON'T KNOW,SAD GIRLZ LUV MONEY,spotify:track:2pgDBO0ZAgvye7joSmdDm8
HOMESHAKE,Helium,Nothing Could Be Better,spotify:track:52xRCGzjBeGHkR7lUMOa6J
Matt Martians,The Drum Chord Theory,Southern Isolation,spotify:track:6W5QPH8JQL5GbL6NUlfsaO
Sam Ezeh,CRISIS,CRISIS,spotify:track:43czZSFDYr2i6HDJw580n5
skaiwater,miles,miles (feat. Lil Uzi Vert),spotify:track:2WgoeZDxLJvjEvlOupkr8D
Tkay Maidza,"Last Year Was Weird, Vol.2",My Flowers,spotify:track:1Ac6vbVAAI7BDrtlGX1iEr
Anderson .Paak,Malibu,Lite Weight (feat. The Free Nationals United Fellowship Choir),spotify:track:2vJIsdYIthbnWgLaLD9yrj
Dana and Alden,Quiet Music For Young People,Let's Go to Trader Joe's,spotify:track:0z5l7DO1gTxysQagz2ze8M
Herbie Hancock,Sunlight,Come Running to Me,spotify:track:3UvkoYw8FicuTMDPlkv0IB
Rihanna,ANTI,James Joint,spotify:track:6K4Co1NQyOnoFEJMkZHkln
Junia-T,Studio Monk,Sad Face Emojis,spotify:track:5kCPBsN2fv6MMb7v4r005s
Briston Maroney,Big Shot,June,spotify:track:4C0P5aJsVTkqXgVeAl83Iy
Col3trane,Bag (with Lucky Daye),Bag (with Lucky Daye),spotify:track:5c4w6QktLsSuO1gqH4YKE7
Tiësto,Hot In It,Hot In It (feat. Charli XCX),spotify:track:3Z7CaxQkqbIs1rewKi6v4W
Kendrick Lamar,Mr. Morale & The Big Steppers,Silent Hill,spotify:track:3tYTyAt1q6BFBiGyYVOLhi
Karmin,Pulses,I Want It All,spotify:track:6GciucEjChWvkyxUGlN09o
Cosmo Lautaro,18,THE DEEPEST WATER,spotify:track:1iEkBOHsi0P87odIz1pnzv
Tame Impala,It Might Be Time,It Might Be Time,spotify:track:2P0NiuAfypaw5UZJoo0n0o
Lucky Daye,Painted,Extra,spotify:track:4ACRXHoiz3J2JHG8DL4Z6X
Terrace Martin,Dinner Party,Freeze Tag (feat. Phoelix),spotify:track:47v4uUtj5AukJmCbMq4Kry
Col3trane,BOOT,Tyler,spotify:track:6LWstZ3aCECKV5HRO2oYFq
Tierra Whack,Whack World,Cable Guy,spotify:track:3aLMgdQGyb5Dd7rMbKSynB
Duw,Keep My Calm,Keep My Calm,spotify:track:6ogC21qztWPcaxi0BqNpmD
John FM,Where My Roots Lie,Solace - 322,spotify:track:1e5zxOy3eDIhVyMiQGcEoc
BROCKHAMPTON,iridescence,TAPE,spotify:track:60srrpZaXm72T4i3ZAoT5w
Tommy Richman,MILLION DOLLAR BABY,MILLION DOLLAR BABY,spotify:track:5AJ9hqTS2wcFQCELCFRO7A
Cleo Sol,Rose in the Dark,Rewind,spotify:track:6X3fgvBtf9IIutyIJixSf6
monte booker,Interstellar,interstellar house mix,spotify:track:7KxYTU8M1csl3ZrBdCljlt
"Tyler, The Creator",IGOR,ARE WE STILL FRIENDS?,spotify:track:5TxRUOsGeWeRl3xOML59Ai
Labrinth,All For Us,All For Us,spotify:track:1VNRj42vX5uNMabyKbE8sI
Jack Harlow,Hello Miss Johnson,Hello Miss Johnson,spotify:track:6gH1UKDAhWS6qXzKXB4wuY
Free Nationals,Beauty & Essex (feat. Daniel Caesar & Unknown Mortal Orchestra),Beauty & Essex (feat. Daniel Caesar & Unknown Mortal Orchestra),spotify:track:4ej94zqr9xYLbWphCH3TcD
WILLOW,hover like a GODDESS,hover like a GODDESS,spotify:track:4kOy6D76FIns6idfss12dq
Mei Semones,Wakare No Kotoba,Wakare No Kotoba,spotify:track:0XJU0wmzDDpaO5gQVO4ePA
Gabriel Gundacker,I Wanna Meet Richard Dreyfuss,I Need To Meet Richard Dreyfuss,spotify:track:6ejcTrm6H98SlQiaMcZily
"Tyler, The Creator",Noid,Noid,spotify:track:1tnZxHryc2wWtjUZC1LQw5
Sunni Colón,Provide,Provide,spotify:track:258xXs5rtmrfy0rh1MqvUB
"Tyler, The Creator",CALL ME IF YOU GET LOST,WILSHIRE,spotify:track:1pbbsI2KGPOMu0HmuGccBu
St. Panther,"Infrastructure (from Insecure: Music From The HBO Original Series, Season 4)","Infrastructure (from Insecure: Music From The HBO Original Series, Season 4)",spotify:track:7drtsRwMaEAg3tEayfCJ8W
Hiatus Kaiyote,Choose Your Weapon,Fingerprints,spotify:track:37tM6Oa7TZghDjfHJydTnL
Adi Oasis,Naked,Naked - Feat. Leven Kali,spotify:track:37usDo7KCpJJHrDnzHG8xU
HONNE,Warm on a Cold Night (feat. Aminé),Warm on a Cold Night (feat. Aminé),spotify:track:1MYK39bbxvYX0LzS30mlqU
Doja Cat,Scarlet 2 CLAUDE,OKLOSER,spotify:track:3Vlt0DKYBK0h3Vf92nywhp
Beenzino,12,"Dali, Van, Picasso",spotify:track:1qF1S4e4WBw6nG1mglWfEH
Drake,Nothing Was The Same,From Time,spotify:track:10VBBaul4zVD0reteuIHM2
Chow Lee,swag it! (Remix),swag it! - Remix,spotify:track:5TH16toxd8LXyTKr35zQja
Ariana Grande,Dangerous Woman,Let Me Love You,spotify:track:5AKlnLpP3WLwZseNbjquND
Rome Fortune,Toro Y Rome Vol. 1,Love Yourself,spotify:track:1UcVVqUun6yljvpoXpfrLR
J. Cole,4 Your Eyez Only,For Whom The Bell Tolls,spotify:track:3MWlVSkoLS1e66nlZ2tuWJ
Akeem Ali,Keemy Casanova ),Keemy Casanova ),spotify:track:0EgSOmK5Jth2Rh5tRJ359Y
Austin Millz,Bad Behavior,Bad Behavior,spotify:track:5QvLKIo27yVB5Rns0VXGrI
ROSALÍA,El Mal Querer,MALAMENTE - Cap.1: Augurio,spotify:track:1B0BQaSRHxhI0AUlItY3LK
Esperanza Spalding,12 Little Spells,Touch in Mine (fingers),spotify:track:5TJH5R1zfOtJLU4AVfQ6Xc
Junglepussy,Jp5000,CRITIQUA,spotify:track:6h9atUDhTFazxUSgXywDzS
Dam Swindle,High Life,High Life feat. Lorenz Rhode,spotify:track:43qA23K9xRd3Dylk7dvVg2
JAY-Z,4:44,Caught Their Eyes,spotify:track:71oM9w2BbJxzTpxzWIE0lw
((( O ))),iFeel,iFeel,spotify:track:5ed0x7s2O191nQ9gfmAhHM
Caleb Taylor,What Do We Know?,What Do We Know?,spotify:track:5UIGKPkte6mv6eiyK5CNPn
¿Téo?,Pockets,Orso (off top),spotify:track:5svEoGpfJ7DMtuczvivVVt
"Tyler, The Creator",CALL ME IF YOU GET LOST,MASSA,spotify:track:2goHCrsDJaflEwQ930ef0o
berryblue,GOT ME LIKE,POISON FLIP - LeeJi Remix,spotify:track:4E6lIWu8JziilMhkY5mmog
Aminé,Caroline,Caroline,spotify:track:5GFDrUTLGJix84sNhjCG0g
Bastille,Wild World,An Act Of Kindness,spotify:track:2wh1sU6HG3L0grx7YzMS5q
AlunaGeorge,Champagne Eyes,Cold Blooded Creatures,spotify:track:6fi6gDXhy1jFeiMKrhrIyC
Disclosure,ENERGY,Tondo,spotify:track:0csz09qS2n8Jo7LogHKu7j
SG Lewis,Better,Better,spotify:track:32T61xmNSIXhGkEszzs0t8
Tru,The Leimert Park Project,Meditate,spotify:track:18excISFBxWvBcsYgsHndq
Bren Joy,Henny in the Hamptons,Henny in the Hamptons,spotify:track:6BVi0UK0efCzVhPqPNeMmQ
Justin Bieber,Journals,Change Me,spotify:track:7AozRQqguQF5E3B4yD0eZ4
Zilo,The Nature Of The Beast,Keep Up Wimmi,spotify:track:7E93Uiydx0aEcNs8w4a1ZA
Big Words,Cicada,Cicada,spotify:track:1D4GkNWWjnsygYIo2PvQdm
Rosehardt,Sum Good,Sum Good,spotify:track:4F9kpErgLo7ooyNS8PteCZ
Underground Canopy,Bluestaeb and S. Fidelity Present Underground Canopy,Feelm Intermission,spotify:track:4rrNbvc5idRjJc2D2sm0wl
Yeek,Love Slacker,I'm Not Ready,spotify:track:6z3fmpMqgV3a8DYZgdiU7w
Jacob Collier,Djesse Vol. 3,Sleeping On My Dreams,spotify:track:1hVogn7kHppd5WkaWvFHIK
KAYTRANADA,NOTHIN LIKE U / CHANCES,NOTHIN LIKE U (feat. Ty Dolla $ign),spotify:track:08M1S4uwtmPM0jIO1qNyhx
Kendrick Lamar,Mr. Morale & The Big Steppers,N95,spotify:track:0fX4oNGBWO3dSGUZcVdVV2
Beyoncé,RENAISSANCE,PURE/HONEY,spotify:track:4DByEumlGTZKSzuVEZ35eo
Niko B,just call me,just call me,spotify:track:64fAqe3CUYYipu3o9ymb5d
aprtment,Aprtment Life,Aprtment Life,spotify:track:4hhUkS8EUBxnfN3pCSclPN
"Tyler, The Creator",Cherry Bomb,"FIND YOUR WINGS (feat. Roy Ayers, Sydney Bennett & Kali Uchis)",spotify:track:7er0EUMY653mxZ1NVD9mwQ
Poppy Ajudha,Low Ride,Low Ride,spotify:track:2c702P848sA0ijy69k7QLo
Dear and the Headlights,Drunk Like Bible Times,"I'm Not Crying. You're Not Crying, Are You?",spotify:track:3DAJYqJpG8UfbEpsLi1XSr
Warner Meadows,Yuca,Yuca,spotify:track:6PhZwZ7QaJa79y7AVrHHHr
Jay Safari,Cup Full,Cup Full,spotify:track:4dIiJbA32UIWpkwfRdd8qI
Jack Ü,Skrillex and Diplo present Jack Ü,Take Ü There (feat. Kiesza),spotify:track:2RpKh7kXSdO8NLrW9VQ46p
MOZIAH,Dax Nextdoor,Eastriverstatepark,spotify:track:3DYsxsKHNHxK2AvRy7ct1V
Lauren Faith,Cosmic EP,Jheeze,spotify:track:1pKgujag5hu13Rn2Q7qAfk
NAYANA IZ,Partner In Crime - A COLORS SHOW,Partner In Crime - A COLORS SHOW,spotify:track:0rd8EZRLWQ3HoE5R25myeW
Michaël Brun,"Charge It (with Masego, Jozzy & Bayka)","Charge It (with Masego, Jozzy & Bayka)",spotify:track:2yg0AEBcHGfMIPVaA5W7o8
Mary J. Blige,My Life,Mary Jane (All Night Long),spotify:track:2zwmugV2IbUwKq5JgOWEpv
SZA,SOS,Seek & Destroy,spotify:track:6eT2V7nKXyMf47TwPbtgAD
Channel Tres,Brilliant Nigga,Brilliant Nigga,spotify:track:0R43dXnNgF209Ygdgct0fP
Aminé,Squeeze,Squeeze,spotify:track:7faL4ndjhVRRX2avbPxLzg
NJOMZA,sad for you,sad for you,spotify:track:2OYoZ4u02sSAfPNxYr1oZB
King Gizzard & The Lizard Wizard,Quarters!,The River,spotify:track:7hSHjoGME9KwtjnOc4hjXG
Aftertheparty,Resonance,Take Two,spotify:track:2c1GD6uDGINKRiTlnAmTDb
Kevin Jz Prodigy,The Language of Cunt,The Language of Cunt,spotify:track:3jSjUazb8dbjHHDqptoTZd
Drake,"Honestly, Nevermind",Sticky,spotify:track:4rmVZajAF7PkrCagGPHbqa
Nick Hakim,QADIR,QADIR,spotify:track:0wPmVxQnJVmjKB8k3W4qq2
Yawdoesitall,SEE YOU TRY...,SEE YOU TRY...,spotify:track:2wQl3xTp4Xc0L37BSKY7py
Ice Spice,Princess Diana (with Nicki Minaj),Princess Diana (with Nicki Minaj),spotify:track:0ZxhtATQ0a6EvQNZ0z6NKV
Kaelin Ellis,"You Are Here, Start.",Heart,spotify:track:2uQlc9vQdNs4w9741xyigq
Anycia,PRINCESS POP THAT,PRINCESS POP THAT,spotify:track:1FBwUBzq6cbjeD2zACRrYH
Jack Harlow,First Class,First Class,spotify:track:1rDQ4oMwGJI7B4tovsBOxc
Karma Kid,Man of the Year,Thru the Tundra,spotify:track:17YxLowBaHnAi68ZEH1WN4
Jordan Stephens,Big Bad Mood (feat. Miraa May),Big Bad Mood (feat. Miraa May),spotify:track:3GdWGAtxFU9184mRdqfB0T
Camila Cabello,Familia,psychofreak (feat. WILLOW),spotify:track:73cnVqsbZygieKi8xF10sO
Dabeull,Intimate Fonk,Day & Night,spotify:track:09iktHjNiTzCX6YT5XKScx
Paco,FOGGY,FOGGY,spotify:track:53mVxeW3b4etmSE4kNGURd
Justin Timberlake,Justified,Still On My Brain,spotify:track:547DBSmURHs1EjJlC4zviI
Snoh Aalegra,"- Ugh, those feels again",Toronto,spotify:track:2w2XmZLVvSSb30Dkkfeq2X
Mei Semones,Tegami,Tegami,spotify:track:3GP1pJRZN7vWwjsASfgPM4
Ariana Grande,"yes, and?","yes, and?",spotify:track:0ttw2K5qNwaKse9LJQBaQt
Photay,Warmth in the Coldest Acre,Warmth in the Coldest Acre,spotify:track:5dVegb8zrkWavCQM8XDUWI
Mejiwahn,Beanna,Lumaby,spotify:track:011plYoLTqmoFML8birgSA
Bluestaeb,Rodalquilar,Didn't Cha Know,spotify:track:1QV3kq6651B8X6smfu2ozQ
Kendrick Lamar,euphoria,euphoria,spotify:track:77DRzu7ERs0TX3roZcre7Q
PinkPantheress,to hell with it,Noticed I Cried - Flume Remix,spotify:track:2sA3V6IQVkdO8FhWh7ZCMN
SIPHO.,SHE MIGHT BLEED,I DON'T GET IT,spotify:track:1uW9X6oaD8Vq3ob0h5mxwk
Natanya,Foolish,Foolish,spotify:track:3FmHd3XrPO1zIkPq5QvPj5
The Lemon Twigs,Do Hollywood,I Wanna Prove to You,spotify:track:7sjYzHb6IEQelfcG52hM28
Tame Impala,Currents,The Moment,spotify:track:1UYj8qTWjneZJDVjUMwMub
Chris Crack,White People Love Algorithms,Hoes at Trader Joe's,spotify:track:3ubMIzyq9JX8V931EW6Rms
Frank Sinatra,My Way,My Way,spotify:track:3spdoTYpuCpmq19tuD0bOe
LAUSSE THE CAT,"The Girl, the Cat and the Tree",Fuccboi Lullaby,spotify:track:0CvUNSDkt0hIRomhm05IMu
Photay,Onism,Balsam Massacre,spotify:track:5FrBo4LSdrGEiK3HrZhVeJ
a子,LAZY,LAZY,spotify:track:77w1F6gWub3tIZI5kvNCDS
Jakob,All Your Love,All Your Love,spotify:track:7G7zCzvyqz39BFE7TqPM3O
Emmavie,What's A Diamond To A Baby,Spirit Traveler,spotify:track:1FECpkksGocmU9LPqutIja
Drake,Thank Me Later,Up All Night,spotify:track:75L0qdzRnhwV62UXoNq3pE
Erykah Badu,Mama's Gun,Bag Lady,spotify:track:7BgUcOjSOlKJXASLgJ6bx1
Bog Bod,Blue Lagoon,French,spotify:track:0jtjdxBoqjzyUktS6nBMI4
SUMIN,SICHIMI,"Airplane (feat.pH-1, Otis Lim)",spotify:track:23wKrjqNjHS7bYpzEzNnlG
Acidslop,Freedom to Talk,Sugar Slave Babies,spotify:track:6RQ86mZJyPiwmixTsQzH7z
FKJ,French Kiwi Juice,Vibin' Out,spotify:track:6SEolIp22t0DzeBfCBo3hr
June Marieezy,Fly,Fly - FKJ Remix,spotify:track:2cbWaw8K4fKvR9kgBg3ugq
Elmiene,Mad At Fire,Mad At Fire,spotify:track:3PqLsRd5qvGGYllBy1IWII
Aminé,ONEPOINTFIVE,REEL IT IN,spotify:track:5qHirGR7M9tdm6C17DlzSY
Jeff Bernat,Sweet Nothing,Sweet Nothing,spotify:track:2tF7vtDQKT8SW1E0oxQn2U
Bruno Mars,An Evening With Silk Sonic,Skate,spotify:track:3WTWh2WDk4j8GUCGj4xfOd
Bryson Tiller,True to Self,Run Me Dry,spotify:track:5GG3knKdxKWrNboRijxeKF
Ravyn Lenae,Sticky,Sticky,spotify:track:1rfGO3N4DPGodJLSSY9Re5
Nicki Minaj,Likkle Miss,Likkle Miss - THE FINE NINE REMIX,spotify:track:0fbtPvz0y7t1ka4APqqt67
Aphex Twin,Drukqs,Avril 14th,spotify:track:1uaGSDFsLdReQgg8p7Obwh
Kendrick Lamar,Mr. Morale & The Big Steppers,Crown,spotify:track:2IwbW2jd0Ncv99Aroe77Ru
Amariah,SOUR GRAPES,SOUR GRAPES,spotify:track:2Q7bfQMLRprA7a0EZvyPPE
METTE,MAMA'S EYES,MAMA'S EYES,spotify:track:3FSOP0KUsO3hv96E92CHsp
Post Animal,The Garden Series,When I Get Home,spotify:track:5azJUob8ahbXB3M9YFwTpd
Lorde,Green Light,Green Light,spotify:track:3FQ26GroLnhQEja48FKYqT
Jordan Rakei,Bruises,Defection,spotify:track:3I4tQHg9oJ9jYtQJTKb2QO
KYLE,Movin',Movin',spotify:track:6LY60TJtxLNbsBtwUKRaxo
Mamii,Black Phoeniix,Creepiin,spotify:track:54lLcjvTAbp0yG34PbGGKO
Flying Lotus,You're Dead!,Never Catch Me,spotify:track:6CTG85NJI1Wm60pxTSRNwL
TOKiMONSTA,Renter's Anthem,Renter's Anthem,spotify:track:4IpO0Ssb4G6iTk36XU2jm8
Dbangz,Thick Niggas and Anime Tiddies,Thick Niggas and Anime Tiddies,spotify:track:33kB5gz4gzOEZVkuWKHylS
Jeymes Samuel,THE BOOK OF CLARENCE,JEEZU (feat. Adekunle Gold),spotify:track:27cIpCVU6XZMxA0VApU7QP
Aneno,Delulu,Delulu,spotify:track:3c78qCRryP6hvGcZ1rjlvC
Frank Ocean,DHL,DHL,spotify:track:2INhKpUdzh7v0j041gZNsz
Troye Sivan,Rush (feat. PinkPantheress & Hyunjin of Stray Kids),Rush (feat. PinkPantheress & Hyunjin of Stray Kids),spotify:track:12qq70vp6hMUikpAyeyDPc
Antônio Carlos Jobim,Wave,Look To The Sky,spotify:track:0t7RB5ABfPzDB5vCh1oVX7
Tame Impala,The Slow Rush,It Might Be Time,spotify:track:558ubozatFQlweufvHa3Ip
River Tiber,Deep End,Deep End,spotify:track:0HscbA9XjdL5orktk2B6Gm
KAYTRANADA,Intimidated,Be Careful (feat. Thundercat),spotify:track:632PCenoAviq31MsIh9eBM
Greentea Peng,GREENZONE 108,Stuck In The Middle,spotify:track:2Qrd7OU3sCUHfVWQn1RcqW
Drake,Nothing Was The Same,All Me,spotify:track:4kNvYhyl8R6m1vykVkcuBu
Beyoncé,Party (feat. J. Cole),Party (feat. J. Cole),spotify:track:7GjNPaxtLRJxPy1U6bLYrK
Asobi Seksu,Citrus,Thursday,spotify:track:3DiCOFDPnyUIU03qdmURN0
The Weeknd,Popular,Popular (with Playboi Carti & Madonna) - The Idol Vol. 1 (Music from the HBO Original Series),spotify:track:5xP9lQYA8YQmQh6BOxcAnR
Lord Bones,LSD,LSD,spotify:track:3YxdLvbwbRZh0suLq1Hf36
Solomonophonic,Welcome to Chilis,Welcome to Chilis,spotify:track:7l2OYG2v3fcJ9r7K5b3tA5
Charli xcx,Von dutch,Von dutch,spotify:track:01TnMXIy7mJJQ7E8uy937N
Bella Boo,boyboy,boyboy,spotify:track:4nPxslqyW55H8Mye6bAXle
Michael Christmas,Role Model,Not the Only One,spotify:track:3q5wn2zu1Bt5NOxmwfGtCn
Pink Floyd,The Dark Side of the Moon,The Great Gig in the Sky,spotify:track:2TjdnqlpwOjhijHCwHCP2d
iyla,War + Raindrops - EP,Flowers,spotify:track:3XwtCnXIFj1AYjGRpurZ2n
Dreamer Isioma,Princess Forever,Dumb In Love With You,spotify:track:0WeZtkfMtDw2usgs3tXltr
Esty,Estyland EP,CHIBI,spotify:track:4wKzb4OXeXiuqzyuU2PqaB
Ben Hughes,What Was It For?,What Was It For?,spotify:track:1idQucjoEMIOVK01hMyydo
Raveena,Lucky,Lucky,spotify:track:3cQJowYPZdx2mpmVhrRk2e
Drake,For All The Dogs Scary Hours Edition,The Shoe Fits,spotify:track:2Mph2Rvl5kVg0MYtfV60wZ
Raghd,Easy Go!,Easy Go!,spotify:track:6k2qNuSSwA3qK0af7Lz2N5
Esperanza Spalding,Esperanza,I Know You Know,spotify:track:3afeZ81GDy59tATovKyH6Z
cotoba,Humanoid operational,coii,spotify:track:5lfsjHcokRCsEjXul9TsUW
Gabriel Gifford,Dust Rises,Dust Rises,spotify:track:2mvaJ3YIHFuynpi6tlhBfb
Mereba,The Jungle Is The Only Way Out,Stay Tru,spotify:track:40ZUYrNTx4WAWN39VkrCOW
Awet,Golden,Golden,spotify:track:5cmwGzsxbdXH9RUfploAsb
Tove Lo,BLUE LIPS,bitches,spotify:track:2FtyrwcRqA2JQEezLjPZ8r
Charli xcx,BRAT,Talk talk,spotify:track:62fqMvguJbsSs9HKhhRfuS
Lous and The Yakuza,Bon acteur,Bon acteur,spotify:track:7HvFxi1R19RxRjLOFmC3TH
Kara-Lis Coverdale,Grafts,Grafts,spotify:track:3MNKjPvkQnMNq8BU2GwYFq
Ohkemo,4th Quarter,4th Quarter,spotify:track:6jnbHfttkrO6J0Juygt8aZ
Billy Lemos,12:34 AM,12:34 AM,spotify:track:16iNVfWKKZPDjctIcd0KMn
Franc Moody,Dream in Colour,Flesh and Blood,spotify:track:3ApDLA7FGUlDc7rNM4bzkb
ILLIT,SUPER REAL ME,Magnetic,spotify:track:1aKvZDoLGkNMxoRYgkckZG
Tove Lo,Lady Wood,Cool Girl,spotify:track:3tJ4y2Zqx6gM9xOAuFfsSF
Jamiroquai,High Times: Singles 1992-2006,Canned Heat - Remastered 2006,spotify:track:20HtF69gJX4r0qrMnK0FGY
Smino,Matinee,Matinee,spotify:track:5c5lCOFiMF14K2pzYep4wo
FKJ,Leave My Home,Leave My Home,spotify:track:6mp9DV7vsQtdqR35RYSpdz
Summer Walker,Last Day Of Summer,CPR,spotify:track:5Tp4UJvnsF4Zd05k0zXUte
Medium Build,Wild,Be Your Boy,spotify:track:0mvbSAjTbLc6ExAaDh5vlM
Marian Hill,ACT ONE,Down,spotify:track:5eCkuGPZNl4mISFNPgr3Dd
J. Cole,Born Sinner,She Knows (feat. Amber Coffman & Cults),spotify:track:282L6SR4Y8Rs0VUgtEy1Zw
Omar Apollo,Want U Around (feat. Ruel),Want U Around (feat. Ruel),spotify:track:5vprsDWNcHMEMH95sbJkH2
Little Simz,Sometimes I Might Be Introvert,Two Worlds Apart,spotify:track:34qvgmIagzNQdZTRL2poiv
Childish Gambino,3.15.20,19.10,spotify:track:5X4R93Qcw54yp9Utwy7Mlr
Maiya The Don,Telfy,Telfy,spotify:track:4vj1VHAC9n8ZodCqdnauS7
YOASOBI,THE BOOK,夜に駆ける,spotify:track:6MCjmGYlw6mQVWRFVgBRvB
Aminé,Baba,Baba,spotify:track:6bqIEcMHVQF0NQHnOnrvng
Bliss Station,Bliss Station,Toes,spotify:track:6D01OeU8LHL1AyDSZgBzKV
Beyoncé,Dangerously In Love,Baby Boy (feat. Sean Paul),spotify:track:4WY3HyGXsWqjFRCVD6gnTe
Childish Gambino,Summer Pack,Summertime Magic,spotify:track:4j3GWI86JvSaF0BLdmgcfF
Jenessa Andrea,Below You,Below You,spotify:track:2mqSxcRWgRTFI6P3UoT5AR
Khruangbin,The Universe Smiles Upon You,White Gloves,spotify:track:4AKUOaCRcoKTFnVI9LtsrN
KUČKA,Honey Remixed,Honey - Medasin Remix,spotify:track:0IawMJTE3PQBayicBmDc3D
Estelle,Shine,American Boy (feat. Kanye West),spotify:track:41on8RwRh22IHcChAN2gm8
JID,The Forever Story,Dance Now (feat. Kenny Mason),spotify:track:6wj7wjtegmkziorQ2tt5Pz
Malcolm Todd,Sweet Boy Pt. 2,Sore Throat,spotify:track:4rFBcz1rUH5IKmKeVRVpcO
Pity Party (Girls Club),Healing Process,I Hope Youre Doing Okay,spotify:track:51HT8fDLuFuBYqnCMHolPi
The Internet,Hive Mind,Hold On,spotify:track:5tqZJUHEuqdN12RZVq2l9p
Lianne La Havas,Blood,Green & Gold,spotify:track:4VPpZXXeZHfpzvHNaPjLcF
Eyes Lips Eyes,What You Want [If You Want],Tickle,spotify:track:74BNcrrfzMTh66O8KMpsKk
FKJ,Time for a Change,Instant Need,spotify:track:6obKvh06VvBZP98oqU6YR7
Cleo Sol,Rose in the Dark,Her Light,spotify:track:1HWGhEcHmzYjyMErq0eovQ
POOLCLVB,What You Want,What You Want - Røse Remix,spotify:track:3Lh1bqNMjcZqaTyKk0ppCY
Childish Gambino,Because The Internet,"III. Telegraph Ave. (""Oakland"" by Lloyd)",spotify:track:7yCw7WbWOIRYe7z2aRjAaA
Aminé,TWOPOINTFIVE,OKWME,spotify:track:42D7JO9zwBTfi66tg7wBMj
Tennyson,Tuesday,Tuesday,spotify:track:5MLnzwz7QyIhZaphlpfMZX
ELIZA,A Real Romantic,Alone & Unafraid,spotify:track:64fxygmGcFNUZmujSkJH8T
PinkPantheress,to hell with it,All My Friends Know - FKJ Remix,spotify:track:17SRbpuULA89Vn9nN1x07l
Juniper,Tell Me (feat. Xavier Omär),Tell Me (feat. Xavier Omär),spotify:track:3pj5wYsYunNeGcyZQN98PJ
